frame_number,track_id,car_bbox,car_bbox_score,license_plate_bbox,license_plate_bbox_score,license_plate_number,license_text_score
12,5.0,[92.62005615234375 177.27381896972656 1366.1107177734375 1062.91357421875],0.8501358032226562,[269.9299621582031 628.178466796875 521.9595336914062 741.1759643554688],0.6060164570808411,LC63NLP,0.9373955843418654
13,5.0,[91.39871215820312 176.8577423095703 1365.9473876953125 1062.1539306640625],0.8469998836517334,[271.11431884765625 629.768310546875 523.1078491210938 743.4304809570312],0.6092184782028198,LC63NLP,0.5182515121229689
14,5.0,[87.29926300048828 177.75469970703125 1361.162841796875 1061.3497314453125],0.8352580666542053,[271.3726501464844 628.4532470703125 524.3458862304688 742.9048461914062],0.6156579256057739,LC63NLP,0.500153621807789
16,5.0,[83.92359161376953 177.4178009033203 1358.75341796875 1057.9210205078125],0.8653709888458252,[269.1631774902344 631.418212890625 523.034912109375 743.4645385742188],0.6089828014373779,LC63NLP,0.9066759833646018
17,5.0,[82.05690002441406 178.91087341308594 1356.8818359375 1057.5185546875],0.8715022206306458,[266.5090637207031 631.1182861328125 521.6795654296875 742.8211669921875],0.6002374887466431,LC63NLP,0.4763212830755965
18,5.0,[80.85784912109375 179.0888671875 1355.9273681640625 1057.592529296875],0.8711137175559998,[268.15966796875 628.5480346679688 520.6602783203125 738.5385131835938],0.5971661806106567,LC63NLP,0.6105249702976032
19,5.0,[80.87858581542969 179.1036834716797 1355.760498046875 1057.7255859375],0.8711656332015991,[268.13043212890625 628.5469360351562 520.6453247070312 738.5077514648438],0.5972515344619751,LC63NLP,0.3876713798296939
20,5.0,[79.30565643310547 176.9496612548828 1357.1693115234375 1056.799560546875],0.8703609108924866,[265.04156494140625 629.6717529296875 515.331787109375 745.5353393554688],0.5961682796478271,LC63NLP,0.5427940505468857
21,5.0,[78.66123962402344 177.79232788085938 1354.612548828125 1056.3280029296875],0.8678990602493286,[264.67108154296875 630.8411254882812 513.4227294921875 745.5394287109375],0.5899870991706848,LC63NLP,0.7140574321636537
22,5.0,[77.45951080322266 177.03683471679688 1346.5028076171875 1055.1572265625],0.8473426103591919,[260.9410705566406 632.0061645507812 513.6494750976562 748.2733764648438],0.5915225148200989,LC63NLP,0.8682235613250262
23,5.0,[76.80208587646484 175.18209838867188 1342.8206787109375 1053.0823974609375],0.8294441103935242,[258.1184387207031 633.9061279296875 511.1690979003906 749.7548828125],0.5757907032966614,LC63NLP,0.6410454013379745
24,5.0,[74.50740814208984 174.86961364746094 1339.5941162109375 1052.7298583984375],0.8211559653282166,[263.392578125 640.0816040039062 509.8016357421875 743.3247680664062],0.5207152962684631,LC63NLP,0.6153889543175619
25,5.0,[74.01839447021484 174.53199768066406 1338.941650390625 1052.6763916015625],0.8233415484428406,[264.2588195800781 638.4640502929688 510.8916015625 743.1754760742188],0.5325815081596375,LC63NLP,0.6049787490343017
26,5.0,[73.61495208740234 176.55014038085938 1336.07177734375 1052.4052734375],0.8258023262023926,[265.3243408203125 638.3772583007812 506.8147277832031 742.7348022460938],0.5395086407661438,LC63NLP,0.3972248204385446
27,5.0,[71.28941345214844 175.24337768554688 1331.909423828125 1053.267822265625],0.8552466630935669,[262.9754943847656 639.3881225585938 506.8492736816406 744.6223754882812],0.558312714099884,LC63NLP,0.487627690925592
29,5.0,[65.15971374511719 178.44137573242188 1325.047119140625 1054.017578125],0.7929009795188904,[264.4931945800781 637.1681518554688 504.64874267578125 742.6680908203125],0.5652889013290405,LC63NLP,0.5247596881741535
30,5.0,[52.217620849609375 177.53253173828125 1327.2774658203125 1058.2923583984375],0.7812402248382568,[276.7892761230469 636.0684204101562 516.895751953125 745.5825805664062],0.5815743803977966,LC63NLP,0.6381581160496641
31,5.0,[47.67362594604492 177.1534423828125 1329.307861328125 1059.858154296875],0.7775523662567139,[281.7149658203125 633.155029296875 524.5214233398438 746.8673095703125],0.6149914860725403,LC63NLP,0.41499838843704473
32,5.0,[45.192962646484375 177.00341796875 1326.303955078125 1058.822265625],0.7953728437423706,[281.8395690917969 633.152587890625 524.0228271484375 747.7618408203125],0.6153956055641174,LC63NLP,0.7209275086217889
33,5.0,[42.35614776611328 174.52357482910156 1323.0240478515625 1057.188232421875],0.7753422856330872,[282.31451416015625 637.6066284179688 523.3614501953125 751.7052001953125],0.6174314618110657,LC63NLP,0.46266414635117586
34,5.0,[38.41876983642578 172.52403259277344 1321.7921142578125 1055.89453125],0.8050494194030762,[283.3033752441406 638.6958618164062 523.4086303710938 753.4744873046875],0.6236080527305603,LC63NLP,0.4686058595390926
35,5.0,[36.03266906738281 167.66925048828125 1318.676513671875 1055.734130859375],0.82673579454422,[281.3077087402344 644.4027709960938 523.0440673828125 757.1558227539062],0.59690260887146,LC63NLP,0.9412307590916354
36,5.0,[32.984596252441406 168.29293823242188 1317.1798095703125 1053.2301025390625],0.8047888278961182,[282.9648132324219 642.25390625 524.5150756835938 755.431640625],0.6018491983413696,LC63NLP,0.4128643090739694
37,5.0,[32.50253677368164 168.67044067382812 1317.787353515625 1051.9749755859375],0.8077709078788757,[281.46673583984375 645.380126953125 524.7699584960938 756.2343139648438],0.5953992605209351,LC63NLP,0.8482687386285519
38,5.0,[32.472686767578125 168.06983947753906 1316.83251953125 1053.151611328125],0.8020857572555542,[283.9817810058594 643.8131103515625 522.7150268554688 756.4882202148438],0.5985811948776245,LC63NLP,0.5218227490548321
39,5.0,[29.92458152770996 165.1719970703125 1317.951904296875 1052.544677734375],0.801582932472229,[281.48382568359375 646.3826904296875 523.4536743164062 757.5771484375],0.5753130912780762,LC63NLP,0.7657270755998191
40,5.0,[27.117961883544922 166.0752716064453 1313.3619384765625 1051.202880859375],0.8245974183082581,[280.9042053222656 646.9330444335938 522.6435546875 756.9679565429688],0.5620719790458679,LC63NLP,0.4352312584971103
41,5.0,[23.998933792114258 168.7242431640625 1306.2044677734375 1050.3931884765625],0.8175995945930481,[281.3711242675781 646.07763671875 522.6903686523438 755.3828735351562],0.5594478249549866,LC63NLP,0.5098731981789348
43,5.0,[19.820152282714844 167.9482879638672 1303.53662109375 1047.5679931640625],0.7872224450111389,[279.37091064453125 644.9618530273438 523.8485717773438 755.488525390625],0.5570587515830994,LC63NLP,0.4752249096258071
45,5.0,[14.93048095703125 165.42495727539062 1293.5908203125 1046.3033447265625],0.8094785809516907,[290.63232421875 648.7042236328125 521.602783203125 761.1953735351562],0.5728590488433838,LC63NLP,0.6365701434821837
56,5.0,[1.6636829376220703 167.12704467773438 1251.677490234375 1052.052001953125],0.8256778717041016,[265.8574523925781 648.6422729492188 509.8643798828125 760.3208618164062],0.37288495898246765,LC63NLP,0.507923844530377
57,5.0,[0.9607428312301636 166.5060272216797 1238.87255859375 1052.7769775390625],0.8280900716781616,[255.66159057617188 643.2614135742188 507.658447265625 768.1036987304688],0.34378600120544434,LC63NLP,0.6633521337192819
58,5.0,[0.0 165.55718994140625 1223.8209228515625 1054.3624267578125],0.8419961333274841,[250.21018981933594 648.5430908203125 505.89971923828125 765.470458984375],0.298969030380249,LC63NLP,0.5335089780838814
59,5.0,[0.0 161.57501220703125 1219.7647705078125 1058.58251953125],0.8378927111625671,[241.21734619140625 648.923828125 499.9612121582031 773.0693969726562],0.2852311134338379,LC53MLP,0.44731612281500577
60,5.0,[0.0 157.6116943359375 1223.2694091796875 1057.80517578125],0.8472785949707031,[38.57856750488281 639.942138671875 524.5411376953125 817.7000122070312],0.4253425896167755,LC63NLP,0.5123424661744382
61,5.0,[0.3309069275856018 157.3799591064453 1225.0645751953125 1057.1998291015625],0.8488390445709229,[38.830448150634766 639.5842895507812 524.7642822265625 817.4325561523438],0.41424351930618286,LC63NLP,0.34869686856920534
62,5.0,[0.13440178334712982 156.2808380126953 1217.396240234375 1059.6971435546875],0.8387967348098755,[38.58341598510742 645.571533203125 520.857177734375 816.689208984375],0.4500766694545746,LC63NLP,0.41238061160866
63,5.0,[0.17957358062267303 158.60296630859375 1218.85498046875 1057.2513427734375],0.8505258560180664,[39.82844543457031 640.2946166992188 511.1385803222656 814.5130004882812],0.5120024085044861,LC63NLP,0.5683791065678658
64,5.0,[0.30489420890808105 159.19705200195312 1214.636474609375 1055.1224365234375],0.8396769762039185,[35.66938781738281 633.40234375 509.5317077636719 815.3270874023438],0.5685560703277588,IS63NLP,0.16775769115063185
65,5.0,[0.7199342846870422 159.5337371826172 1212.8046875 1052.83447265625],0.8408534526824951,[38.97779846191406 630.5023803710938 505.31085205078125 818.46142578125],0.5769695043563843,IR63MLP,0.2804262488015746
66,5.0,[1.2149367332458496 158.62208557128906 1203.16162109375 1048.996826171875],0.8305201530456543,[36.44306564331055 631.651123046875 498.1468811035156 818.7939453125],0.42918214201927185,IR63NLP,0.3972335005246934
67,5.0,[1.8248255252838135 157.97305297851562 1200.22705078125 1047.7083740234375],0.8300269842147827,[35.80765151977539 632.936279296875 497.8017272949219 819.0936889648438],0.43366122245788574,IR63NLP,0.25206901768430195
82,5.0,[2.5324928760528564 156.9452362060547 1173.513427734375 1041.853271484375],0.6674747467041016,[30.23077392578125 641.652099609375 461.3316955566406 828.8204956054688],0.645165741443634,LC53NLP,0.16502095632019814
87,5.0,[0.3728436529636383 146.6949920654297 996.6118774414062 1050.1956787109375],0.8264250159263611,[34.11506271362305 663.184814453125 439.6951599121094 832.4395141601562],0.6487845778465271,AC53ALP,0.3178024483956517
322,7.0,[1379.6640625 255.80821228027344 1918.5006103515625 1067.0870361328125],0.9359363913536072,[269.4014587402344 672.9523315429688 539.0 803.5874633789062],0.6932184100151062,LG15FBT,0.3907746696194119
323,7.0,[1374.5654296875 255.5446319580078 1918.5518798828125 1066.90283203125],0.9311076998710632,[270.5916748046875 673.2880859375 544.0 804.5821533203125],0.6840230822563171,LG15FBU,0.18140253909022858
326,7.0,[1365.3114013671875 255.08468627929688 1918.77734375 1067.4840087890625],0.9261142611503601,[275.2834777832031 675.15869140625 553.0 807.228271484375],0.6823159456253052,LG15FBL,0.7649468438473715
334,7.0,[1328.837646484375 250.94998168945312 1918.5006103515625 1065.4256591796875],0.9032601714134216,[288.5358581542969 685.7821655273438 590.0 814.728271484375],0.662035346031189,LG15FBL,0.3586835261187048
339,7.0,[1315.0068359375 252.40853881835938 1918.6973876953125 1066.01708984375],0.9147133231163025,[301.1380310058594 692.4695434570312 599.1766357421875 814.0],0.6507805585861206,LG15FBL,0.4224125417190589
340,7.0,[1310.4681396484375 250.33895874023438 1918.80224609375 1065.8197021484375],0.9198755025863647,[301.87823486328125 696.5654907226562 592.870361328125 813.1690063476562],0.6466436386108398,LG15FBL,0.4051635019037154
341,7.0,[1307.9534912109375 249.25193786621094 1918.8524169921875 1066.0755615234375],0.9210889935493469,[294.9699401855469 698.871337890625 589.3123779296875 816.1007080078125],0.6577253341674805,LG15FBL,0.8003290553054253
343,7.0,[1300.7781982421875 249.17002868652344 1919.73291015625 1066.5806884765625],0.918938398361206,[297.0638122558594 703.4276123046875 596.3439331054688 814.0818481445312],0.6446342468261719,LG15FBL,0.31841153190974586
345,7.0,[1296.0234375 249.5485076904297 1919.004638671875 1066.8018798828125],0.9143034815788269,[294.4496765136719 703.959228515625 604.7732543945312 815.0326538085938],0.6223505139350891,LG15FBL,0.3027418697888659
346,7.0,[1292.8699951171875 250.5967559814453 1918.875 1067.109619140625],0.9167899489402771,[292.10357666015625 703.3944091796875 609.9019775390625 815.4905395507812],0.6188323497772217,LG15FBL,0.2663329635627101
347,7.0,[1289.2237548828125 253.28451538085938 1918.846923828125 1067.3770751953125],0.9161651730537415,[292.1921691894531 701.8031005859375 606.4519653320312 812.940185546875],0.6231860518455505,LG15FBL,0.4309647655925171
348,7.0,[1285.274658203125 253.7834930419922 1918.7393798828125 1067.79443359375],0.9191548824310303,[289.376708984375 701.580810546875 610.7506103515625 812.2169189453125],0.6286095380783081,LG15FBL,0.6419258285979192
349,7.0,[1284.4180908203125 253.64138793945312 1919.5860595703125 1067.8577880859375],0.9194315075874329,[289.6903991699219 701.562744140625 612.1989135742188 812.2221069335938],0.6305062174797058,LG15FBL,0.4609239929242129
350,7.0,[1282.7791748046875 255.22406005859375 1918.920166015625 1068.3165283203125],0.9148662686347961,[292.0085754394531 701.3484497070312 610.1943969726562 811.347900390625],0.6407479643821716,LG15FBL,0.5552879567507076
351,7.0,[1278.7301025390625 256.3685607910156 1918.4288330078125 1069.0435791015625],0.9239497184753418,[296.2070617675781 701.21533203125 614.1328125 811.4354248046875],0.6403638124465942,LG15FBL,0.2918566084968163
352,7.0,[1277.2159423828125 259.06951904296875 1918.7822265625 1069.22314453125],0.9228085279464722,[297.73333740234375 700.1452026367188 612.9263305664062 808.5369262695312],0.632775068283081,LG15FBL,0.7406807180433993
353,7.0,[1275.0177001953125 258.635498046875 1918.9520263671875 1069.1478271484375],0.915142297744751,[298.6244201660156 702.8019409179688 607.7290649414062 809.5166625976562],0.6437968015670776,LG15FBL,0.47757392088117046
354,7.0,[1270.2666015625 256.46209716796875 1918.7802734375 1070.367919921875],0.910228967666626,[297.042236328125 704.7258911132812 614.4239501953125 812.5694580078125],0.6444098353385925,LG15FBL,0.3692828214918239
355,7.0,[1269.14111328125 255.53233337402344 1919.4007568359375 1071.0146484375],0.9093711376190186,[297.12335205078125 705.7453002929688 617.43408203125 814.5515747070312],0.642881453037262,LG15FBL,0.38492499109463346
356,7.0,[1266.740966796875 253.90147399902344 1918.831298828125 1070.79443359375],0.9232435822486877,[298.9744567871094 707.5307006835938 620.7727661132812 815.5545043945312],0.6456189155578613,LG15FBL,0.597037461065504
357,7.0,[1265.1129150390625 252.3757781982422 1918.941162109375 1070.065185546875],0.9265017509460449,[299.26318359375 707.4525146484375 627.1813354492188 816.7852172851562],0.6424153447151184,LG15FBL,0.7205852107776958
358,7.0,[1261.9349365234375 251.69056701660156 1918.9730224609375 1069.55029296875],0.9272661805152893,[295.2885437011719 711.3245239257812 630.447265625 816.3834228515625],0.6363959908485413,LG15FBL,0.662796219519845
359,7.0,[1258.447265625 251.30172729492188 1918.9176025390625 1070.0032958984375],0.9245308637619019,[296.65936279296875 713.9356689453125 628.8226318359375 817.3194580078125],0.64144366979599,LG15FBL,0.5461696239093525
360,7.0,[1255.1309814453125 252.4413604736328 1918.73095703125 1071.0419921875],0.9251694083213806,[293.18316650390625 714.9267578125 630.3053588867188 817.1986083984375],0.6311282515525818,LG15FBL,0.45079246688401736
361,7.0,[1254.301025390625 252.53985595703125 1919.4111328125 1071.278076171875],0.9255437254905701,[294.02386474609375 714.6881103515625 633.8872680664062 817.1867065429688],0.6269336342811584,LG15FBL,0.4169719977324374
362,7.0,[1249.6727294921875 252.6260528564453 1919.0426025390625 1071.296630859375],0.9180038571357727,[294.78826904296875 715.8911743164062 635.4942016601562 817.182861328125],0.6263773441314697,LG15FBL,0.7622283291649783
363,7.0,[1245.31884765625 252.36354064941406 1919.0179443359375 1070.10986328125],0.9274957180023193,[291.6448059082031 712.23388671875 644.5137329101562 818.0],0.628350555896759,LG15FBL,0.6020264991025562
364,7.0,[1241.5308837890625 252.22967529296875 1919.25244140625 1070.0677490234375],0.9281867146492004,[294.3674011230469 712.8460083007812 645.9700317382812 818.0],0.6301596760749817,LG15FBL,0.8417859745422802
365,7.0,[1236.8603515625 253.25462341308594 1919.4066162109375 1069.0242919921875],0.9226277470588684,[303.5715026855469 718.8780517578125 629.6094970703125 815.0449829101562],0.6328586339950562,LG15FBU,0.2547313180165372
366,7.0,[1233.2984619140625 253.43577575683594 1919.3892822265625 1068.08251953125],0.9250833988189697,[303.22760009765625 717.5972900390625 609.9454956054688 814.8458251953125],0.6480572819709778,LG15FBI,0.34878534553088336
367,7.0,[1232.7354736328125 253.32728576660156 1920.0 1067.8687744140625],0.9251492619514465,[307.51580810546875 717.5621337890625 613.1666870117188 813.9268188476562],0.6542155146598816,LG15FBI,0.4679553957345366
368,7.0,[1231.0286865234375 252.52035522460938 1919.9398193359375 1068.3076171875],0.9185881018638611,[308.85711669921875 721.1314086914062 605.051513671875 816.0],0.6256690621376038,LG15FBI,0.4025399278982448
369,7.0,[1227.0621337890625 252.2351531982422 1919.8818359375 1068.455810546875],0.9192174077033997,[319.8140563964844 727.7501831054688 600.5755004882812 815.7238159179688],0.5545264482498169,LG15FPI,0.29907391865819766
